INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('83#雷电分析仪',4.6,'是','异常','闭合',203.4,204.8,176.0,27.5,29.9,66.1,236.4,232.5,234.6,2.8,28.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('59#雷电分析仪',5.3,'否','正常','闭合',192.4,105.5,217.0,88.6,69.5,88.7,146.5,210.5,113.6,7.6,29.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('54#雷电分析仪',6.4,'是','异常','闭合',236.4,227.6,137.6,69.1,86.0,24.3,110.6,202.0,223.1,8.2,28.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('33#雷电分析仪',1.0,'是','异常','闭合',203.6,118.3,147.0,77.6,37.5,69.6,173.6,157.4,203.5,7.1,39.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('31#雷电分析仪',6.6,'否','异常','闭合',206.3,106.4,112.3,88.8,10.5,27.1,238.8,179.9,237.1,9.6,28.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('66#雷电分析仪',1.3,'否','异常','打开',131.7,153.1,115.5,28.0,60.4,70.3,209.5,128.7,144.6,2.0,29.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('23#雷电分析仪',6.2,'否','正常','打开',233.8,197.9,190.0,32.2,73.6,45.9,154.8,149.3,208.4,1.6,31.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('78#雷电分析仪',1.7,'是','正常','闭合',179.7,201.0,191.2,20.0,26.4,26.7,101.2,106.6,125.4,8.9,39.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('81#雷电分析仪',6.1,'否','异常','打开',220.3,182.7,109.6,61.4,86.8,13.3,112.2,209.1,183.7,6.5,34.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('0#雷电分析仪',2.3,'否','异常','打开',236.5,216.3,185.4,84.0,83.8,68.9,186.1,124.7,123.3,7.8,28.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('86#雷电分析仪',6.3,'否','异常','打开',200.3,117.1,182.3,57.3,17.8,37.7,187.9,119.5,225.3,8.8,34.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('41#雷电分析仪',3.7,'否','异常','打开',204.2,216.4,167.4,53.3,43.2,54.9,101.6,104.6,173.3,9.4,23.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('26#雷电分析仪',9.0,'是','异常','闭合',171.0,233.5,149.7,52.7,30.4,89.9,173.6,103.6,130.4,7.7,23.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('78#雷电分析仪',2.7,'否','异常','闭合',163.5,187.4,236.6,64.3,10.0,24.3,167.3,184.0,235.1,7.1,22.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('17#雷电分析仪',2.3,'是','正常','打开',110.8,137.9,213.1,88.4,88.5,62.3,144.1,159.4,187.0,8.4,25.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('60#雷电分析仪',8.0,'否','异常','闭合',111.4,224.2,142.5,59.3,10.2,59.4,109.0,187.8,231.9,7.1,33.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('90#雷电分析仪',0.0,'否','异常','闭合',145.8,119.5,203.0,71.7,62.4,46.6,136.6,181.3,153.4,2.2,27.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('29#雷电分析仪',2.2,'否','异常','打开',108.8,102.0,238.9,40.5,81.3,22.3,169.6,124.2,117.3,7.8,24.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('32#雷电分析仪',2.4,'是','异常','闭合',155.3,113.6,156.1,37.8,89.2,46.8,167.8,126.9,121.0,2.9,32.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('25#雷电分析仪',2.8,'否','正常','闭合',222.8,137.5,148.7,57.1,40.7,74.6,171.0,147.0,173.4,3.9,23.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('92#雷电分析仪',5.5,'是','正常','打开',122.3,133.1,199.1,77.8,37.4,58.4,195.6,205.7,133.0,6.5,37.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('36#雷电分析仪',0.5,'是','异常','闭合',119.1,138.0,136.4,13.6,83.8,35.8,108.1,194.8,216.9,4.8,29.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('40#雷电分析仪',4.9,'否','异常','打开',146.2,219.4,124.8,30.6,46.2,52.1,132.7,119.1,212.6,5.7,36.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('41#雷电分析仪',0.1,'否','正常','闭合',207.3,210.6,131.3,45.8,64.3,11.9,134.3,215.1,233.6,1.4,32.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('6#雷电分析仪',4.2,'是','异常','打开',167.6,161.5,141.3,50.6,49.9,73.8,105.5,114.9,125.3,1.6,28.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('48#雷电分析仪',0.4,'否','正常','闭合',213.4,173.9,143.7,55.2,16.6,28.3,231.2,215.7,132.7,5.7,29.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('93#雷电分析仪',6.1,'是','异常','打开',215.5,239.9,184.7,65.3,33.0,40.8,237.6,167.5,234.3,1.8,20.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('17#雷电分析仪',3.5,'否','异常','打开',107.0,126.9,127.7,13.0,46.7,13.8,199.1,112.6,123.9,4.5,20.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('94#雷电分析仪',8.0,'是','正常','闭合',186.7,239.2,238.8,84.7,72.5,37.8,118.6,142.7,178.6,5.6,20.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('82#雷电分析仪',1.0,'否','异常','闭合',118.3,169.0,154.2,86.1,58.6,39.5,188.7,111.5,155.2,3.1,26.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('55#雷电分析仪',4.6,'是','正常','闭合',179.5,215.0,170.7,63.0,71.3,28.5,214.9,166.8,198.5,9.0,37.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('88#雷电分析仪',7.9,'是','异常','打开',147.8,117.2,237.6,67.4,19.1,49.0,121.5,214.4,153.1,1.5,30.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('35#雷电分析仪',1.4,'是','正常','闭合',187.2,209.4,206.4,30.2,15.6,35.8,210.1,228.3,238.2,5.7,20.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('25#雷电分析仪',4.2,'是','正常','闭合',179.6,182.2,124.2,16.7,10.7,34.3,218.9,171.4,152.7,9.4,20.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('57#雷电分析仪',9.0,'是','正常','打开',202.9,211.1,109.1,15.6,32.1,66.7,159.3,153.2,218.3,3.7,29.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('45#雷电分析仪',5.3,'否','异常','闭合',177.4,178.7,172.2,64.8,61.1,82.8,216.8,115.4,180.6,3.0,22.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('95#雷电分析仪',3.0,'是','正常','闭合',157.7,206.8,124.9,24.2,49.2,84.7,115.8,127.2,108.8,0.4,24.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('59#雷电分析仪',9.8,'是','异常','打开',154.1,154.2,208.1,69.9,48.6,53.4,119.1,145.5,184.3,9.4,31.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('46#雷电分析仪',7.6,'否','异常','闭合',204.5,136.0,211.2,60.2,59.2,61.0,189.0,182.9,169.1,9.7,29.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('8#雷电分析仪',4.5,'否','正常','打开',106.2,199.9,139.3,66.4,60.3,56.7,111.9,140.8,171.8,8.1,33.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('43#雷电分析仪',6.1,'否','正常','闭合',155.8,180.6,160.4,65.7,60.5,65.8,160.4,112.9,234.6,6.5,29.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('20#雷电分析仪',3.2,'否','异常','闭合',223.2,210.2,156.4,21.9,28.1,47.2,158.1,213.7,216.9,7.2,30.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('86#雷电分析仪',6.1,'否','正常','打开',202.2,230.6,190.0,53.1,49.9,47.2,218.4,181.6,155.1,7.7,36.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('97#雷电分析仪',7.2,'是','异常','闭合',210.7,127.4,162.9,19.8,11.2,75.9,121.5,204.0,234.2,0.5,32.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('91#雷电分析仪',0.9,'否','异常','闭合',237.8,106.1,145.4,78.1,17.5,83.8,194.9,194.1,213.7,1.4,21.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('81#雷电分析仪',1.8,'否','异常','闭合',163.7,200.9,231.3,60.9,68.2,23.2,146.7,153.8,163.5,3.0,34.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('81#雷电分析仪',1.5,'是','正常','闭合',227.1,127.7,152.7,78.4,31.2,58.9,126.1,137.2,207.8,0.0,23.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('75#雷电分析仪',3.4,'是','异常','闭合',223.4,125.3,178.5,39.5,76.6,38.3,195.7,187.8,125.5,3.4,23.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('64#雷电分析仪',9.6,'否','正常','闭合',109.3,123.5,163.1,80.4,33.7,70.7,160.7,159.8,226.6,2.6,30.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('79#雷电分析仪',1.3,'否','正常','闭合',208.7,132.0,237.6,42.3,65.2,88.4,193.2,167.2,127.1,0.7,21.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('63#雷电分析仪',2.1,'是','正常','打开',101.3,143.6,202.0,61.7,29.7,63.1,178.0,103.3,179.3,6.9,21.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('41#雷电分析仪',7.2,'是','正常','打开',175.4,202.6,205.0,54.8,23.2,68.3,232.3,178.8,168.2,8.2,38.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('41#雷电分析仪',3.8,'是','正常','闭合',225.9,144.5,211.0,46.1,63.8,85.7,102.7,132.8,102.8,2.8,29.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('91#雷电分析仪',6.2,'否','正常','闭合',100.1,185.4,115.2,83.4,37.1,45.4,209.2,216.6,159.4,0.2,29.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('7#雷电分析仪',7.4,'是','正常','闭合',128.2,150.8,116.5,11.7,38.3,50.6,116.6,191.1,220.3,8.1,20.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('30#雷电分析仪',7.8,'是','异常','打开',189.0,229.5,201.8,40.8,81.0,27.5,105.2,142.3,202.3,8.0,26.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('16#雷电分析仪',4.3,'否','正常','打开',147.4,129.6,232.9,80.0,38.8,23.3,202.0,210.3,144.8,9.5,32.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('9#雷电分析仪',3.0,'否','异常','打开',199.7,131.6,156.2,13.1,87.5,89.6,209.5,225.7,175.3,7.6,27.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('14#雷电分析仪',8.8,'否','正常','打开',156.7,183.9,216.1,48.7,63.7,59.5,219.5,153.7,207.2,9.2,29.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('23#雷电分析仪',4.9,'是','异常','打开',189.9,143.1,226.1,72.4,66.8,33.8,109.9,117.2,206.2,1.9,22.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('98#雷电分析仪',5.9,'是','异常','打开',120.9,171.3,219.7,10.0,71.4,70.9,125.7,104.2,197.6,8.1,37.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('66#雷电分析仪',7.3,'是','异常','闭合',122.6,238.6,184.2,27.1,29.9,65.7,174.3,210.9,188.6,5.7,21.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('19#雷电分析仪',5.0,'是','正常','闭合',157.2,185.0,127.2,22.4,10.2,64.6,150.7,124.2,123.8,8.3,29.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('50#雷电分析仪',8.1,'是','异常','闭合',129.1,239.7,102.0,77.0,15.2,77.6,189.3,143.0,119.5,0.7,25.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('19#雷电分析仪',5.0,'否','异常','闭合',197.3,206.2,221.1,89.8,43.5,51.8,199.0,142.8,140.2,7.2,28.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('68#雷电分析仪',9.7,'是','正常','闭合',170.6,227.3,106.7,69.4,18.9,52.9,221.7,135.2,223.0,1.3,30.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('56#雷电分析仪',7.5,'是','正常','闭合',217.9,187.7,164.3,18.6,40.9,20.5,122.5,112.8,141.9,4.3,34.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('93#雷电分析仪',7.5,'是','正常','打开',139.0,159.2,126.7,52.1,80.5,84.2,193.4,114.5,183.0,5.3,23.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('37#雷电分析仪',8.0,'是','异常','闭合',166.8,215.7,109.8,25.6,67.3,79.5,100.1,224.9,191.5,6.3,37.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('93#雷电分析仪',7.5,'是','异常','打开',229.1,130.0,121.7,77.0,31.9,16.6,224.7,163.4,198.0,5.6,37.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('19#雷电分析仪',7.7,'是','异常','闭合',145.2,173.8,134.8,17.8,26.3,59.7,220.5,153.5,170.2,0.4,29.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('96#雷电分析仪',4.7,'是','正常','闭合',193.0,215.0,171.4,46.8,86.2,13.9,185.4,123.6,203.4,6.7,34.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('77#雷电分析仪',1.1,'是','异常','打开',217.1,211.2,197.6,74.1,42.7,87.4,170.3,201.8,201.9,8.4,20.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('68#雷电分析仪',2.1,'否','正常','闭合',222.6,181.1,138.4,65.2,79.5,15.6,167.5,184.9,178.3,0.7,23.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('52#雷电分析仪',5.6,'是','正常','打开',138.5,173.6,117.5,78.7,57.9,50.6,189.4,140.5,112.0,5.8,20.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('1#雷电分析仪',8.6,'是','异常','打开',142.3,189.5,232.5,36.2,11.6,18.7,204.6,140.7,233.6,7.6,23.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('52#雷电分析仪',3.5,'是','正常','打开',140.4,170.5,140.9,86.3,19.7,84.3,107.1,118.3,202.5,2.0,24.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('80#雷电分析仪',9.1,'是','异常','打开',229.7,215.5,101.7,27.0,22.5,12.0,127.8,140.0,229.3,2.0,20.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('90#雷电分析仪',3.1,'是','正常','闭合',157.5,129.2,212.5,28.8,56.9,58.4,109.4,148.5,210.6,4.1,27.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('39#雷电分析仪',8.3,'否','异常','打开',101.0,159.8,116.8,35.9,61.9,31.0,142.5,124.7,239.0,3.5,34.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('76#雷电分析仪',2.8,'否','正常','打开',111.7,106.6,185.6,81.2,36.5,79.0,154.7,112.2,221.3,9.7,38.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('69#雷电分析仪',1.7,'否','异常','打开',211.5,165.9,221.4,86.1,84.5,42.8,160.0,139.4,190.7,4.8,31.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('1#雷电分析仪',6.6,'否','异常','闭合',225.9,221.4,103.4,65.0,45.6,34.1,142.5,126.6,160.1,4.1,23.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('4#雷电分析仪',3.1,'是','异常','打开',213.8,112.2,114.6,48.7,51.6,58.3,235.2,163.7,131.7,3.6,27.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('15#雷电分析仪',4.9,'否','异常','闭合',168.2,130.0,151.1,70.0,47.9,63.2,186.6,185.7,125.4,2.2,34.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('19#雷电分析仪',5.1,'否','异常','闭合',143.2,211.2,163.9,40.7,84.5,38.6,118.1,138.7,224.3,2.6,37.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('31#雷电分析仪',5.0,'是','异常','打开',127.7,209.9,152.4,19.9,87.2,46.7,126.1,115.9,201.1,2.6,25.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('13#雷电分析仪',9.7,'是','正常','打开',143.4,183.8,136.7,33.2,51.4,22.3,222.8,217.0,232.8,7.5,32.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('90#雷电分析仪',8.1,'是','正常','闭合',222.3,158.6,166.0,34.0,75.1,47.8,165.6,170.4,183.5,4.1,36.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('81#雷电分析仪',0.5,'是','异常','打开',192.5,121.1,213.1,83.6,43.4,25.0,123.0,111.7,180.3,6.0,25.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('78#雷电分析仪',0.7,'否','正常','打开',138.1,196.4,111.3,25.6,89.3,84.3,175.0,175.2,106.7,1.3,29.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('44#雷电分析仪',3.5,'否','正常','闭合',143.7,216.3,109.9,79.3,58.4,41.1,175.2,112.8,113.5,1.0,20.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('16#雷电分析仪',5.2,'否','正常','闭合',206.4,160.7,225.3,17.4,65.1,19.7,211.7,147.0,183.2,6.8,23.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('49#雷电分析仪',7.9,'是','正常','闭合',230.4,158.5,101.6,78.2,47.4,85.8,194.7,110.7,212.5,6.7,32.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('43#雷电分析仪',6.3,'是','正常','打开',196.3,167.3,206.3,16.9,62.2,64.6,120.2,213.1,141.9,3.5,24.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('64#雷电分析仪',1.4,'是','正常','打开',194.3,157.4,203.2,46.7,52.9,32.3,182.5,233.5,167.2,2.0,21.5);
